Course Name,Duration,Standard Fee,Early Bird Fee,Live Virtual Standard Fee,Live Virtual Early Bird Fee
10 Soft Skills You Need,1,695,545,545,445
Absence Management,1,695,545,545,445
Access 2013 Expert,1,695,545,545,445
Effective Vendor Management,1,695,545,545,445
Business Finance Basics,1,695,545,545,445
Customer Service Essentials,1,695,545,545,445
Professional Development Essentials,1,695,545,545,445
Essential Coaching Skills for Managers,1,695,545,545,445
Career Planning,1,695,545,545,445
Teamwork Skills: Communicating Effectively in Groups,1,695,545,545,445
Account Management,1,695,545,545,445
Agile & Scrum,1,695,545,545,445
Agile For Executives,1,695,545,545,445
AgileSHIFT,1,695,545,545,445
Big Data Overview,1,695,545,545,445
Big Data Strategy,1,695,545,545,445
Business Case Writing,1,695,545,545,445
Business Ethics,1,695,545,545,445
Business Etiquette,1,695,545,545,445
Business Networking,1,695,545,545,445
Business Presentations,1,695,545,545,445
Business Succession Planning,1,695,545,545,445
Business Writing,1,695,545,545,445
Coaching at Work,1,695,545,545,445
COBIT 5 And ITIL,1,695,545,545,445
Combining ITIL and COBIT for Service Management Improvement,1,695,545,545,445
Communication Skills,1,695,545,545,445
Communication Strategies,1,695,545,545,445
Conflict Management,1,695,545,545,445
Crisis Management,1,695,545,545,445
Cyber Security Overview,1,695,545,545,445
DevOps And ITSM,1,695,545,545,445
DevOps Awareness,1,695,545,545,445
Effective Change Management,1,695,545,545,445
Elements Of Risk Management,1,695,545,545,445
Emotional Intelligence,1,695,545,545,445
Employee Engagement,1,695,545,545,445
Essential Management Skills,1,695,545,545,445
Event Planning,1,695,545,545,445
Excel 2007 Advanced,1,695,545,545,445
Excel Data Analysis in Finance,1,695,545,545,445
Excel Super User,1,695,545,545,445
Excel VBA,1,695,545,545,445
High-Powered Excel for Finance,1,695,545,545,445
Human Resource Management,1,695,545,545,445
Internet Marketing Fundamentals,1,695,545,545,445
Internet of Things - Business Perspectives,1,695,545,545,445
Interview Skills,1,695,545,545,445
Introduction To Agile,1,695,545,545,445
Introduction To Software Test Automation,1,695,545,545,445
Introduction To Web Of Things,1,695,545,545,445
ITIL 4 Specialist: High Velocity IT,1,695,545,545,445
ITIL Foundation,1,695,545,545,445
Knowledge Management,1,695,545,545,445
Leading Effective Teams,1,695,545,545,445
Manager Management,1,695,545,545,445
Managing a Virtual Team,1,695,545,545,445
Managing Performance,1,695,545,545,445
Marketing Essentials,1,695,545,545,445
Mastering in DAX and Data Modeling,1,695,545,545,445
Maximising your Excel Productivity,1,695,545,545,445
Negotiation Skills - Expert,1,695,545,545,445
Negotiation Skills - Professional,1,695,545,545,445
ONF-Certified SDN Associate (OCSA),1,695,545,545,445
Organizational Skills,1,695,545,545,445
P3O Practitioner,1,695,545,545,445
Performance Management,1,695,545,545,445
Personal Branding,1,695,545,545,445
Power BI for Business Users,1,695,545,545,445
Power BI for Report Developers,1,695,545,545,445
Power Query (Get & Transform) for Excel and Power BI Desktop,1,695,545,545,445
Practical Sales Skills,1,695,545,545,445
Preparing for Job Interviews,1,695,545,545,445
Presentation Skills,1,695,545,545,445
Presentation Skills – Expert,1,695,545,545,445
Presentation Skills – Professional,1,695,545,545,445
Proposal Writing,1,695,545,545,445
Public Speaking,1,695,545,545,445
Quality Management,1,695,545,545,445
Recruitment Skills,1,695,545,545,445
Report Writing,1,695,545,545,445
Risk Assessment,1,695,545,545,445
Risk Assessment and Management,1,695,545,545,445
SDN Overview,1,695,545,545,445
Software Testing Essentials,1,695,545,545,445
Software Testing Essentials For Developers,1,695,545,545,445
Stakeholder Management,1,695,545,545,445
Stress Management,1,695,545,545,445
Supply Chain Management,1,695,545,545,445
Team Kanban Practitioner,1,695,545,545,445
Time Management,1,695,545,545,445
Train-The-Trainer,1,695,545,545,445
Wellness,1,695,545,545,445
Workplace Reflective Practice,1,695,545,545,445
Writing a CV,1,695,545,545,445
Agile For Product Owner,2,1195,1145,995,895
Agile Scrum Master,2,1195,1145,995,895
AgileScrum Foundation,2,1195,1145,995,895
Big Data Bootcamp,2,1195,1145,995,895
Business Process Analysis & Design,2,1195,1145,995,895
CCC - Blockchain Foundation,2,1195,1145,995,895
CCC-Big Data Foundation,2,1195,1145,995,895
CCC-Cloud Technology Associate,2,1195,1145,995,895
Change Management Practitioner,2,1195,1145,995,895
Cloud Essentials,2,1195,1145,995,895
COBIT 5 Assessor,2,1195,1145,995,895
Construction Project Manager,2,1195,1145,995,895
Cyber Security,2,1195,1145,995,895
DASA - DevOps Product Owner,2,1195,1145,995,895
DASA - DevOps Professional Enable And Scale - Pro,2,1195,1145,995,895
DBCM - Dynamic Business Case Management,2,1195,1145,995,895
DevOps Practitioner,2,1195,1145,995,895
EXIN - ITSM-ISO/IEC 20000 Foundation,2,1195,1145,995,895
Financial and Basic Accounting Principles for Project Managers,2,1195,1145,995,895
Financial Modelling In Excel,2,1195,1145,995,895
From Digital Strategy To Implementation,2,1195,1145,995,895
Fundamentals of SDLC,2,1195,1145,995,895
Fundamentals Of Software Testing,2,1195,1145,995,895
HDI Customer Service Representative,2,1195,1145,995,895
HDI Desktop Support Technician,2,1195,1145,995,895
HDI Support Center Analyst,2,1195,1145,995,895
HDI Support Center Team Lead,2,1195,1145,995,895
HDI Technical Support Professional,2,1195,1145,995,895
Implementing the NIST Cybersecurity Framework Using COBIT 5,2,1195,1145,995,895
Integrating Enterprise Architecture And Solution Architecture,2,1195,1145,995,895
Introduction To Data Analysis,2,1195,1145,995,895
ISTQB Foundation Extension Agile Tester,2,1195,1145,995,895
ITIL 4 Foundation - Pro,2,1195,1145,995,895
ITIL - Managing Across The Lifecycle (MALC),2,1195,1145,995,895
ITIL - Service Operation (SO),2,1195,1145,995,895
ITIL - Service Strategy (SS),2,1195,1145,995,895
Leading SAFe 5.0 Certification,2,1195,1145,995,895
Lean IT Value Stream Mapping - Mike Orzen Signature Course,2,1195,1145,995,895
Lean Six Sigma Black Belt,2,1195,1145,995,895
LITA Lean IT Foundation,2,1195,1145,995,895
Management Of Portfolios - Practitioner,2,1195,1145,995,895
Management Of Risk (M_o_R) Practitioner,2,1195,1145,995,895
Management Of Risk Foundation (M_o_R),2,1195,1145,995,895
Management Of Value (MoV) Foundation,2,1195,1145,995,895
Management Of Value (MoV) Practitioner,2,1195,1145,995,895
Managing Benefits Practitioner,2,1195,1145,995,895
Managing Successful Programmes - MSP Advanced Practitioner,2,1195,1145,995,895
Managing Successful Programmes - MSP Foundation,2,1195,1145,995,895
Managing Successful Programmes - MSP Practitioner,2,1195,1145,995,895
Microsoft Power BI,2,1195,1145,995,895
Microsoft Power BI Comprehensive Training,2,1195,1145,995,895
Microsoft Power BI Dashboard and Data Analysis,2,1195,1145,995,895
Microsoft Power Query and Power Pivot for Excel,2,1195,1145,995,895
Microsoft Project 2013,2,1195,1145,995,895
ONF-Certified SDN Engineer Certification (OCSE),2,1195,1145,995,895
P3O Foundation,2,1195,1145,995,895
Practical DevOps & Continuous Delivery,2,1195,1145,995,895
Problem Management Professional,2,1195,1145,995,895
Project Integration Management,2,1195,1145,995,895
Project Management Basics,2,1195,1145,995,895
Project Manager and Business Analyst Role Collaboration,2,1195,1145,995,895
RESILIA Practitioner,2,1195,1145,995,895
Risk Based Testing,2,1195,1145,995,895
SAFe 5.0 Advanced Scrum Master with SASM Certification,2,1195,1145,995,895
SAFe DevOps,2,1195,1145,995,895
SAFe for Architects,2,1195,1145,995,895
SAFe For Teams,2,1195,1145,995,895
SAFe Product Owner/Product Manager,2,1195,1145,995,895
SAFe Scrum Master,2,1195,1145,995,895
Sales Presentation Mastery,2,1195,1145,995,895
SECO - Data Protection Foundation,2,1195,1145,995,895
SECO - IT-Security Foundation,2,1195,1145,995,895
SECO - Secure Programming Foundation,2,1195,1145,995,895
SQL Server "Rookie to Rockstar",2,1195,1145,995,895
TIPA Lead Assessor,2,1195,1145,995,895
Virtualization Essentials,2,1195,1145,995,895
Advanced Android Security,3,1795,1645,1595,1395
Advanced Java and Web Application Security,3,1795,1645,1595,1395
Advanced Practical Project Management,3,1795,1645,1595,1395
Agile Bootcamp,3,1795,1645,1595,1395
Agile Project Management Foundation (AgilePM),3,1795,1645,1595,1395
CCC-Professional Cloud Administrator(PCA),3,1795,1645,1595,1395
CCC-Professional Cloud Developer (PCD),3,1795,1645,1595,1395
CCC-Professional Cloud Security Manager,3,1795,1645,1595,1395
CCC-Professional Cloud Service Manager(PCSM),3,1795,1645,1595,1395
CCC-Professional Cloud Solutions Architect(PCSA),3,1795,1645,1595,1395
Change Management Foundation,3,1795,1645,1595,1395
COBIT 5 Foundation,3,1795,1645,1595,1395
COBIT 5 Implementation,3,1795,1645,1595,1395
DASA - DevOps Fundamentals,3,1795,1645,1595,1395
Data Analysis Bootcamp,3,1795,1645,1595,1395
Devops Implementation Bootcamp,3,1795,1645,1595,1395
Foundation Certificate In OpenStack Software,3,1795,1645,1595,1395
Getting Started With Enterprise Architecture,3,1795,1645,1595,1395
HDI Desktop Support Manager,3,1795,1645,1595,1395
HDI KCS Foundation,3,1795,1645,1595,1395
HDI Support Center Director,3,1795,1645,1595,1395
HDI Support Center Manager,3,1795,1645,1595,1395
IPMA - C,3,1795,1645,1595,1395
IPMA - D,3,1795,1645,1595,1395
ISTQB Advanced - Technical Test Analyst,3,1795,1645,1595,1395
ISTQB/BCS Software Testing Foundation,3,1795,1645,1595,1395
ITIL - Continual Service Improvement (CSI),3,1795,1645,1595,1395
ITIL - Practitioner Pro,3,1795,1645,1595,1395
ITIL - Service Design (SD),3,1795,1645,1595,1395
ITIL - Service Transition (ST),3,1795,1645,1595,1395
ITIL 4 Specialist: Create, Deliver and Support,3,1795,1645,1595,1395
ITIL 4 Specialist: Drive Stakeholder Value,3,1795,1645,1595,1395
ITIL V3 Foundation,3,1795,1645,1595,1395
ITIL V3 Foundation - Premium,3,1795,1645,1595,1395
ITIL V3 Foundation + Cloud Introduction,3,1795,1645,1595,1395
ITIL - Planning, Protection And Optimization (PPO),3,1795,1645,1595,1395
Lean Six Sigma Green Belt,3,1795,1645,1595,1395
LITA Lean IT Kaizen,3,1795,1645,1595,1395
LITA Lean IT Leadership,3,1795,1645,1595,1395
Management Of Portfolios - Foundation,3,1795,1645,1595,1395
Management Of Portfolios - Foundation & Practitioner,3,1795,1645,1595,1395
Managing Multiple Projects For BA's - Prioritization And Time Management,3,1795,1645,1595,1395
P3O Foundation & Practitioner,3,1795,1645,1595,1395
PM-BA Role Collaboration,3,1795,1645,1595,1395
PMI Agile Certified Practitioner(ACP),3,1795,1645,1595,1395
PMI-CAPM,3,1795,1645,1595,1395
PMI-RMP,3,1795,1645,1595,1395
PRINCE2 Agile Practitioner,3,1795,1645,1595,1395
Professional Skills Bootcamp,3,1795,1645,1595,1395
RESILIA Foundation,3,1795,1645,1595,1395
TIPA Assessor,3,1795,1645,1595,1395
TOGAF 9: Level 2 Certified,3,1795,1645,1595,1395
Business Analyst Bootcamp,4,3295,2995,2295,1995
Choose Your Own IT (Service) Management Improvement Battles,4,3295,2995,2295,1995
Enterprise Architecture 101,4,3295,2995,2295,1995
Excel Analytics,4,3295,2995,2295,1995
Financial Modelling for Mining Companies,4,3295,2995,2295,1995
Implementing SAFe,4,3295,2995,2295,1995
ISTQB Advanced - Test Analyst,4,3295,2995,2295,1995
ITIL V3 Foundation + CCC-CTA Bootcamp,4,3295,2995,2295,1995
ITIL - Operational Support And Analysis (OSA),4,3295,2995,2295,1995
ITIL - Release, Control And Validation (RCV),4,3295,2995,2295,1995
PMP Certification,4,3295,2995,2295,1995
Professional in Business Analysis (PMI-PBA),4,3295,2995,2295,1995
Real Estate Financial Modelling,4,3295,2995,2295,1995
Technical Writing,4,3295,2995,2295,1995
Agile Project Management Foundation & Practitioner (AgilePM),5,3795,3495,2795,2295
Business Introduction To Cloud,5,3795,3495,2795,2295
Business Introduction To Open Cloud,5,3795,3495,2795,2295
Certified Lead Penetration Tester,5,3795,3495,2795,2295
EXIN Information Security Advanced Based on ISO/IEC 27002,5,3795,3495,2795,2295
Financial Modelling for Oil & Gas,5,3795,3495,2795,2295
ISTQB Advanced - Test Manager,5,3795,3495,2795,2295
ITIL - Service Offerings And Agreements (SOA) - Pro,5,3795,3495,2795,2295
OpenStack Administration,5,3795,3495,2795,2295
Prince2 Foundation and Practitioner Certification Program,5,3795,3495,2795,2295
ITIL Combined Foundation And Practitioner,6,4795,4295,2795,2295
Open Cloud Technology Fundamentals,6,4795,4295,2795,2295
Microsoft Azure Fundamentals (1 - Day),1,1195,1145,995,895
Designing a DevOps Strategy,1,1195,1145,995,895
Microsoft Azure AI Fundamentals,1,1195,1145,995,895
Migrating SQL databases to Azure,1,1195,1145,995,895
Microsoft Azure Big Data Analytics Solutions,2,1195,1145,995,895
Microsoft Azure Fundamentals (2 - Day),2,1195,1145,995,895
Microsoft Azure solutions for AWS developers,3,1795,1645,1595,1395
Microsoft Azure Administrator,4,3295,2995,2295,1995
Microsoft Azure technologies for AWS architects,4,3295,2995,2295,1995
Anger Management,1,1195,1145,995,895
Building High Performing Teams,1,1195,1145,995,895
Call Control,1,1195,1145,995,895
Change Management - Change Matters,1,1195,1145,995,895
Handling Angry and Difficult Callers,1,1195,1145,995,895
Motivating People,1,1195,1145,995,895
Setting Others Up For Success! (Internal Customer Service),1,1195,1145,995,895
Telephone Debt Collection,1,1195,1145,995,895
Front Line Retail Selling Skills,2,1195,1145,995,895
Leadership Skills - Lead, Motivate & Inspire,2,1195,1145,995,895
Managing People,2,1195,1145,995,895
Negotiating for Results,2,1195,1145,995,895
Passionate Retail Experts,2,1195,1145,995,895
Pathways to Service Excellence,2,1195,1145,995,895
Professional Selling Skills,2,1195,1145,995,895
Retail Sales Planning and Forecasting,2,1195,1145,995,895
Sales Management,2,1195,1145,995,895
Sales Territory Planning & Routing,2,1195,1145,995,895
Telephone Customer Service - Find a way to say YES!,2,1195,1145,995,895
Vision, Energy & Passion To Serve,2,1195,1145,995,895
Workplace Diversity & Inclusion,2,1195,1145,995,895
Creative Problem Solving and Decision Making,2,1195,1145,995,895
Train-The-Trainer  (3 Days),3,1795,1645,1595,1395
Professional Business Writing Mini Course,0.5,445,345,345,295
Ten Best Practice Customer Service Techniques - Mini Course,0.5,445,345,345,295
Sales Forecasting - Mini Course,0.5,445,345,345,295
Professional Sales Questioning, Handling Objections and Closing - Mini Course,0.5,445,345,345,295
